"Reference","Value","Qty","DNP"
"C1,C2","47u","2",""
"D1","D","1",""
"Q1","BS250","1",""
"Q2,Q3","2N3904","2",""
"Q4","2N7000","1",""
"Q5,Q6,Q7","IRLIZ44N","3",""
"R1,R2,R3,R4,R5","56k","5",""
"R6,R7,R8,R13,R14,R21,R27,R30","10k","8",""
"R9,R18,R20","5.1k","3",""
"R10,R11,R19","1k","3",""
"R12","3.3k","1",""
"R15,R16,R17","100k","3",""
"R22,R23,R25,R26,R29","R_US","5",""
"U1,U2,U11","LM311","3",""
"U3,U4","7404","2",""
"U5","AMS1117-5.0","1",""
"U6","74HC00","1",""
"U7,U9","7408","2",""
"U8","4077","1",""
"U10","NE555P","1",""
"U12,U14,U16,U17,U18","NSL-32","5",""
"U13","CRE1S0505SC","1",""
